glyph,region,category,bbox,info
tGhoo,2,base,(916,287,1533,520),
tGhoo,3,above,(18,482,513,693),
tGhoo,4,base,(203,-15,490,283),
tGhoo,5,below,(448,-153,538,19),
tGhau,0,base,(647,-15,1060,517),largest
tGhau,1,base,(310,-15,695,525),
tGhau,2,above,(763,458,1392,693),
tGhau,3,base,(60,-15,347,283),
tGhau,4,above,(287,497,595,734),
tGhau,5,above,(770,482,1055,667),
tGhau,6,above,(141,497,306,659),
tGhau,7,below,(305,-153,395,19),
tGh,0,base,(647,-15,1060,525),largest
tGh,1,base,(310,-15,695,525),
tGh,2,above,(69,631,563,818),
tGh,3,base,(60,-15,347,283),
tGh,4,above,(85,482,416,662),
tGh,5,below,(305,-153,395,19),
tNga,0,base,(73,-15,423,525),largest
tNga,1,base,(391,-15,734,247),
tNga,2,base,(484,331,560,525),
tNga,3,base,(348,311,668,354),
tNgaa,0,base,(73,-15,423,525),largest
tNgaa,1,base,(420,313,1025,548),
tNgaa,2,base,(391,-15,734,247),
tNgaa,3,base,(334,311,668,354),
tNgaa,4,base,(487,333,557,502),
tNgi,0,base,(73,-15,423,525),largest
tNgi,1,above,(379,487,754,794),
tNgi,2,base,(391,-15,734,247),
tNgi,3,base,(334,311,668,354),
tNgi,4,above,(487,333,557,502),
tNgii,0,base,(73,-15,423,525),largest
tNgii,1,above,(379,487,754,792),
tNgii,2,base,(391,-15,734,247),
tNgii,3,above,(474,751,681,966),
tNgii,4,base,(341,311,668,354),
tNgii,5,above,(487,333,557,502),
tNgu,0,base,(334,-15,1163,525),largest
tNgu,1,base,(73,-15,423,525),
tNgu,2,base,(371,-15,726,244),
tNgu,3,base,(484,339,560,525),
tNguu,0,base,(334,-15,1163,495),largest
tNguu,1,base,(73,-15,423,525),
tNguu,2,base,(879,287,1496,520),
tNguu,3,base,(371,-15,726,244),
tNguu,4,base,(484,339,560,525),
tNge,0,base,(73,-15,423,525),largest
tNge,1,above,(85,482,680,693),
tNge,2,base,(371,-15,734,247),
tNge,3,base,(334,311,668,354),
tNge,4,above,(487,333,557,502),
tNgee,0,base,(73,-15,423,525),largest
tNgee,1,above,(85,482,680,693),
tNgee,2,base,(371,-15,734,247),
tNgee,3,above,(470,679,676,881),
tNgee,4,base,(334,311,668,354),
tNgee,5,above,(487,333,557,502),
tNgai,0,base,(73,-15,423,525),largest
tNgai,1,below,(43,-323,708,-88),
tNgai,2,above,(85,482,680,693),
tNgai,3,base,(381,-15,734,247),
tNgai,4,base,(334,311,668,354),
tNgai,5,above,(487,333,557,502),
tNgo,0,base,(73,-15,423,525),largest
tNgo,1,above,(618,490,1000,729),
tNgo,2,base,(391,-15,734,247),
tNgo,3,above,(363,485,683,729),
tNgo,4,base,(486,331,559,520),
tNgo,5,base,(348,311,668,354),
tNgoo,0,base,(73,-15,423,525),largest
tNgoo,1,base,(391,-15,734,247),
tNgoo,2,above,(634,490,1000,729),
tNgoo,3,above,(363,485,653,729),
tNgoo,4,disconnected,(791,709,997,904),
tNgoo,5,base,(486,331,559,520),
tNgoo,6,base,(348,311,668,354),
tNgau,0,base,(73,-15,423,525),largest
tNgau,1,above,(413,458,1027,693),
tNgau,2,base,(391,-15,734,247),
tNgau,3,above,(420,482,695,660),
tNgau,4,base,(334,311,668,354),
tNgau,5,above,(487,333,557,502),
tNg,0,base,(73,-15,423,525),largest
tNg,1,above,(369,631,863,818),
tNg,2,base,(391,-15,734,247),
tNg,3,above,(385,481,726,662),
tNg,4,base,(334,311,668,354),
tNg,5,above,(487,333,557,502),
tCa,0,base,(427,-15,784,523),largest
tCa,1,base,(118,-15,458,321),
tCa,2,above,(417,500,735,734),
tCa,3,above,(282,485,458,657),
tCa,4,above,(30,298,292,398),
tCaa,0,base,(194,306,1111,539),largest
tCaa,1,base,(427,-15,784,513),
tCaa,2,base,(118,-15,460,316),
tCaa,3,base,(30,298,292,398),
tCi,0,base,(223,-15,802,771),largest
tCi,1,base,(118,-15,462,316),
tCi,2,base,(30,298,292,398),
tCii,0,base,(223,-15,802,771),largest
tCii,1,base,(118,-15,462,316),
tCii,2,above,(300,750,507,946),
tCii,3,base,(30,298,292,398),
tCu,0,base,(759,-15,1150,525),largest
tCu,1,base,(427,-15,783,523),
tCu,2,base,(118,-15,458,321),
tCu,3,above,(417,500,735,734),
tCu,4,above,(282,485,458,657),
tCu,5,above,(30,298,292,398),
tCuu,0,base,(759,-15,1147,498),largest
tCuu,1,base,(427,-15,783,523),
tCuu,2,base,(863,287,1480,520),
tCuu,3,base,(118,-15,458,321),
tCuu,4,above,(417,500,735,734),
tCuu,5,above,(282,485,458,657),
tCuu,6,above,(30,298,292,398),
tCe,0,base,(427,-15,784,511),largest
tCe,1,above,(105,482,790,693),
tCe,2,base,(118,-15,458,321),
tCe,3,above,(30,298,292,398),
tCee,0,base,(427,-15,784,511),largest
tCee,1,above,(105,482,790,693),
tCee,2,base,(118,-15,458,321),
tCee,3,above,(580,657,786,881),
tCee,4,above,(30,298,292,398),
tCai,0,base,(427,-15,784,511),largest
tCai,1,below,(63,-323,818,-88),
tCai,2,above,(105,482,790,693),
tCai,3,base,(118,-15,458,321),
tCai,4,above,(30,298,292,398),
tCo,0,base,(302,-15,784,729),largest
tCo,1,base,(118,-15,458,321),
tCo,2,base,(573,490,939,729),
tCo,3,below,(30,298,292,398),
tCoo,0,base,(302,-15,784,729),largest
tCoo,1,base,(118,-15,458,321),
tCoo,2,base,(573,490,939,729),
tCoo,3,above,(730,704,936,904),
tCoo,4,below,(30,298,292,398),
tCau,0,base,(427,-15,784,511),largest
tCau,1,above,(287,458,1047,693),
tCau,2,base,(118,-15,458,321),
